연도,군집,고객수,비중,연간사용량_kWh,월평균_kWh,최대시간사용량_kWh,주말주중비,경부하비중,중간부하비중,최대부하비중,월변동계수,부하율,하계민감도,동계민감도
2024,순간고피크·고변동형,75,0.10533707865168539,9315.571440000002,776.29762,10.16816,1.0647312491717613,0.3815775906665867,0.3180981822024545,0.30032422713095885,0.40498213738054795,0.10898318589429692,1.4110944075108325,0.8437386307032049
2024,저사용·저피크형,48,0.06741573033707865,4027.876395833333,335.65636631944443,3.007875,1.0415651077289543,0.39169241893296586,0.31836477799579604,0.2899428030712381,0.24704862210510478,0.16084328805359951,1.2673334509423217,0.98512674423639
2024,주간·저녁 최대부하집중형,172,0.24157303370786518,7148.619680232558,595.7183066860464,4.797418604651162,1.0274226064226217,0.3143012718913744,0.34183996302484787,0.3438587650837777,0.24482086474704257,0.1729838165325349,1.3562910348295707,0.9899732642345573
2024,하계냉방민감형,104,0.14606741573033707,6866.586874999999,572.2155729166667,4.911173076923077,1.0511628559960269,0.37546035171552433,0.31689175801398317,0.3076478902704925,0.4242299212563356,0.16504908360824985,1.7247697388196903,0.9047117711114411
2024,동계난방민감·야간형,68,0.09550561797752809,6987.194985294118,582.2662487745098,4.958455882352941,1.0472768024706156,0.4049124913783154,0.2913200080427808,0.3037675005789038,0.3379066167905157,0.16993405223224692,1.2408166122064883,1.508353996295283
2024,고부하율·야간평탄형,149,0.20926966292134833,7927.268986577181,660.6057488814317,4.226771812080536,1.0426675044959888,0.40759103942189306,0.30279333421556676,0.2896156263625401,0.22718439137421217,0.2186403184462077,1.2824875008415455,1.0132502468675715
2024,주말·최대부하집중형,88,0.12359550561797752,6198.254659090908,516.5212215909091,4.587284090909091,1.2162631936849693,0.3759085461125855,0.2851096322111642,0.3389818216762503,0.2882214471137416,0.15870217509264203,1.4421545411752512,0.9722320249482114
2024,극저사용·불규칙형,8,0.011235955056179775,2378.7235,198.22695833333333,4.02525,1.0303970136395117,0.4008940561525274,0.29742895182336726,0.30167699202410536,1.032664898924753,0.06579306878163574,1.414590595166814,4.572684788911593
2025,순간고피크·고변동형,64,0.0898876404494382,9105.205328125001,758.7671106770833,10.16553125,1.0529524109075536,0.38366474698325903,0.31471059971998716,0.3016246532967538,0.3962583804096641,0.10964167121699667,1.4467064691841154,0.8399688158756904
2025,저사용·저피크형,58,0.08146067415730338,3995.9245862068965,332.9937155172413,2.9980172413793102,1.0264554399302042,0.39893438193261505,0.3026108389468271,0.2984547791205578,0.21729724962825434,0.16038652883239685,1.2548765264542476,1.002054370144946
2025,주간·저녁 최대부하집중형,163,0.22893258426966293,7211.712411042946,600.9760342535787,4.650527607361964,1.0291862476602793,0.3156910969161515,0.3422093304513905,0.342099572632458,0.23178860468534923,0.1806458285644959,1.3348941424084204,0.9699999878400772
2025,하계냉방민감형,98,0.13764044943820225,6656.191602040816,554.6826335034012,4.843459183673469,1.0545940178023623,0.3762737090320137,0.3150575868960953,0.30866870407189095,0.4290887860257393,0.16484005755249562,1.7601207364762141,0.8969849522969087
2025,동계난방민감·야간형,65,0.09129213483146068,7051.385846153846,587.6154871794872,5.228984615384616,1.0285271519778365,0.4076742112329496,0.28521769747331127,0.30710809129373906,0.326285492588391,0.16365151269175035,1.1802767653531154,1.5425384851266504
2025,고부하율·야간평탄형,163,0.22893258426966293,7662.441429447853,638.536785787321,4.073938650306748,1.0433142784639264,0.40832336140754794,0.3011890244985077,0.29048761409394436,0.212264732882873,0.2196906495368357,1.2732076354244335,1.00423100488547
2025,주말·최대부하집중형,91,0.12780898876404495,6397.711999999999,533.1426666666666,4.715461538461539,1.2189693871841119,0.3730106444898695,0.28334735068502315,0.34364200482510737,0.28037315215995917,0.15807529734774534,1.46392849648445,0.9603743708135978
2025,극저사용·불규칙형,10,0.014044943820224719,2176.5257,181.37714166666666,3.3692,1.1033821839897646,0.42274029503556687,0.2958008008499551,0.28145890411447805,1.0863013588458965,0.06642206429621447,0.9200822643175623,2.142000628729961
