2024군집,2025군집,고객수,2024군집내비중
순간고피크·고변동형,순간고피크·고변동형,53,0.7066666666666667
순간고피크·고변동형,저사용·저피크형,1,0.013333333333333334
순간고피크·고변동형,주간·저녁 최대부하집중형,2,0.02666666666666667
순간고피크·고변동형,하계냉방민감형,12,0.16
순간고피크·고변동형,동계난방민감·야간형,2,0.02666666666666667
순간고피크·고변동형,고부하율·야간평탄형,2,0.02666666666666667
순간고피크·고변동형,주말·최대부하집중형,2,0.02666666666666667
순간고피크·고변동형,극저사용·불규칙형,1,0.013333333333333334
저사용·저피크형,순간고피크·고변동형,0,0.0
저사용·저피크형,저사용·저피크형,38,0.7916666666666666
저사용·저피크형,주간·저녁 최대부하집중형,0,0.0
저사용·저피크형,하계냉방민감형,4,0.08333333333333333
저사용·저피크형,동계난방민감·야간형,2,0.041666666666666664
저사용·저피크형,고부하율·야간평탄형,2,0.041666666666666664
저사용·저피크형,주말·최대부하집중형,0,0.0
저사용·저피크형,극저사용·불규칙형,2,0.041666666666666664
주간·저녁 최대부하집중형,순간고피크·고변동형,2,0.011627906976744186
주간·저녁 최대부하집중형,저사용·저피크형,4,0.023255813953488372
주간·저녁 최대부하집중형,주간·저녁 최대부하집중형,126,0.7325581395348837
주간·저녁 최대부하집중형,하계냉방민감형,5,0.029069767441860465
주간·저녁 최대부하집중형,동계난방민감·야간형,3,0.01744186046511628
주간·저녁 최대부하집중형,고부하율·야간평탄형,21,0.12209302325581395
주간·저녁 최대부하집중형,주말·최대부하집중형,11,0.06395348837209303
주간·저녁 최대부하집중형,극저사용·불규칙형,0,0.0
하계냉방민감형,순간고피크·고변동형,6,0.057692307692307696
하계냉방민감형,저사용·저피크형,4,0.038461538461538464
하계냉방민감형,주간·저녁 최대부하집중형,10,0.09615384615384616
하계냉방민감형,하계냉방민감형,52,0.5
하계냉방민감형,동계난방민감·야간형,2,0.019230769230769232
하계냉방민감형,고부하율·야간평탄형,11,0.10576923076923077
하계냉방민감형,주말·최대부하집중형,18,0.17307692307692307
하계냉방민감형,극저사용·불규칙형,1,0.009615384615384616
동계난방민감·야간형,순간고피크·고변동형,0,0.0
동계난방민감·야간형,저사용·저피크형,1,0.014705882352941176
동계난방민감·야간형,주간·저녁 최대부하집중형,3,0.04411764705882353
동계난방민감·야간형,하계냉방민감형,2,0.029411764705882353
동계난방민감·야간형,동계난방민감·야간형,47,0.6911764705882353
동계난방민감·야간형,고부하율·야간평탄형,12,0.17647058823529413
동계난방민감·야간형,주말·최대부하집중형,1,0.014705882352941176
동계난방민감·야간형,극저사용·불규칙형,2,0.029411764705882353
고부하율·야간평탄형,순간고피크·고변동형,2,0.013422818791946308
고부하율·야간평탄형,저사용·저피크형,6,0.040268456375838924
고부하율·야간평탄형,주간·저녁 최대부하집중형,13,0.087248322147651
고부하율·야간평탄형,하계냉방민감형,6,0.040268456375838924
고부하율·야간평탄형,동계난방민감·야간형,6,0.040268456375838924
고부하율·야간평탄형,고부하율·야간평탄형,110,0.738255033557047
고부하율·야간평탄형,주말·최대부하집중형,5,0.03355704697986577
고부하율·야간평탄형,극저사용·불규칙형,1,0.006711409395973154
주말·최대부하집중형,순간고피크·고변동형,1,0.011363636363636364
주말·최대부하집중형,저사용·저피크형,4,0.045454545454545456
주말·최대부하집중형,주간·저녁 최대부하집중형,7,0.07954545454545454
주말·최대부하집중형,하계냉방민감형,15,0.17045454545454544
주말·최대부하집중형,동계난방민감·야간형,1,0.011363636363636364
주말·최대부하집중형,고부하율·야간평탄형,5,0.056818181818181816
주말·최대부하집중형,주말·최대부하집중형,54,0.6136363636363636
주말·최대부하집중형,극저사용·불규칙형,1,0.011363636363636364
극저사용·불규칙형,순간고피크·고변동형,0,0.0
극저사용·불규칙형,저사용·저피크형,0,0.0
극저사용·불규칙형,주간·저녁 최대부하집중형,2,0.25
극저사용·불규칙형,하계냉방민감형,2,0.25
극저사용·불규칙형,동계난방민감·야간형,2,0.25
극저사용·불규칙형,고부하율·야간평탄형,0,0.0
극저사용·불규칙형,주말·최대부하집중형,0,0.0
극저사용·불규칙형,극저사용·불규칙형,2,0.25
