월,2024고객당평균_kWh,2025고객당평균_kWh,증감_kWh,증감률,2024경부하비중,2025경부하비중,경부하비중증감p,2024최대부하비중,2025최대부하비중,최대부하비중증감p
1,574.98727247191,580.817768258427,5.830495786516963,0.010140217124200435,0.3833609306711132,0.3784683780714832,-0.004892552599630007,0.3092945452544431,0.31009511770539694,0.0008005724509538292
2,529.0665828651686,529.1970912921348,0.13050842696623022,0.00024667675334821837,0.3788080776891447,0.38092172435627597,0.0021136466671312637,0.3047614700542394,0.3082474696290289,0.0034859995747894557
3,534.3896221910112,521.3899213483146,-12.999700842696598,-0.024326259910133485,0.3965044089430278,0.39067371142772805,-0.005830697515299743,0.305838998384093,0.3096596191903046,0.0038206208062115943
4,471.75936938202244,455.3005997191011,-16.458769662921327,-0.03488806101398978,0.3872643919640632,0.3934515642118362,0.006187172247772987,0.3086186867113869,0.3102903459936969,0.0016716592823100007
5,478.66675421348316,465.3891573033707,-13.277596910112436,-0.027738707134422613,0.38687692252787026,0.38203664155900974,-0.004840280968860522,0.30926715044818914,0.3099064670656801,0.0006393166174909481
6,513.3752471910112,530.9334845505618,17.558237359550617,0.03420156592204715,0.3729314061333278,0.3701769456875167,-0.0027544604458111244,0.3129206723679819,0.3186995685818271,0.005778896213845197
7,806.218268258427,788.7220224719102,-17.496245786516738,-0.0217016240829071,0.35750273505669045,0.3615704650789086,0.004067730022218163,0.3211240504410273,0.32165417894058784,0.0005301284995605227
8,921.160511235955,865.4200224719101,-55.740488764044926,-0.06051115748465585,0.34962785188695555,0.35348232770832805,0.003854475821372494,0.3170848388968258,0.31745118743536144,0.0003663485385356213
9,727.1944087078651,690.1173609550563,-37.07704775280888,-0.050986431288285394,0.3541990964778769,0.36432478760874154,0.010125691130864645,0.32185093951363053,0.3223272838500127,0.0004763443363821618
10,489.69812640449436,524.4068511235955,34.708724719101156,0.07087779766270019,0.368632703799468,0.36726325669634713,-0.0013694471031208688,0.32111680784217117,0.3152684692629106,-0.005848338579260592
11,485.38512078651684,468.61723314606746,-16.767887640449374,-0.034545532861161354,0.37792516984500596,0.385696350190213,0.007771180345207018,0.3192029614061296,0.31832806757221693,-0.0008748938339126489
12,569.8713019662921,536.9746516853933,-32.896650280898825,-0.057726455372277496,0.3849141800735823,0.3902883082339123,0.005374128160330005,0.3152976682220388,0.315032736778486,-0.0002649314435528294
