연도,월,고객당평균_kWh,고객당중앙값_kWh,전체_MWh,경부하비중,중간부하비중,최대부하비중
2024,1,574.98727247191,524.872,409.39093799999995,0.3833609306711132,0.3073445240744436,0.3092945452544431
2024,2,529.0665828651686,498.72999999999996,376.695407,0.3788080776891447,0.3164304522566159,0.3047614700542394
2024,3,534.3896221910112,508.518,380.48541099999994,0.3965044089430278,0.2976565926728792,0.305838998384093
2024,4,471.75936938202244,452.3225,335.89267099999995,0.3872643919640632,0.3041169213245498,0.3086186867113869
2024,5,478.66675421348316,447.0725000000001,340.810729,0.38687692252787026,0.3038559270239406,0.30926715044818914
2024,6,513.3752471910112,487.17500000000007,365.523176,0.3729314061333278,0.31414792149869036,0.3129206723679819
2024,7,806.218268258427,781.4595,574.027407,0.35750273505669045,0.3213732145022822,0.3211240504410273
2024,8,921.160511235955,885.9205,655.866284,0.34962785188695555,0.3332873092162186,0.3170848388968258
2024,9,727.1944087078651,688.5684999999999,517.762419,0.3541990964778769,0.32394996400849263,0.32185093951363053
2024,10,489.69812640449436,465.7180000000001,348.66506599999997,0.368632703799468,0.31025048835836083,0.32111680784217117
2024,11,485.38512078651684,468.49050000000005,345.594206,0.37792516984500596,0.3028718687488646,0.3192029614061296
2024,12,569.8713019662921,533.1284999999999,405.748367,0.3849141800735823,0.2997881517043789,0.3152976682220388
2025,1,580.817768258427,540.5255,413.542251,0.3784683780714832,0.3114365042231198,0.31009511770539694
2025,2,529.1970912921348,486.6875,376.78832900000003,0.38092172435627597,0.31083080601469504,0.3082474696290289
2025,3,521.3899213483146,502.80800000000005,371.229624,0.39067371142772805,0.2996666693819674,0.3096596191903046
2025,4,455.3005997191011,443.9095,324.174027,0.3934515642118362,0.29625808979446683,0.3102903459936969
2025,5,465.3891573033707,448.85050000000007,331.35707999999994,0.38203664155900974,0.30805689137531034,0.3099064670656801
2025,6,530.9334845505618,508.74249999999995,378.02464100000003,0.3701769456875167,0.3111234857306561,0.3186995685818271
2025,7,788.7220224719102,760.3985,561.5700800000001,0.3615704650789086,0.31677535598050355,0.32165417894058784
2025,8,865.4200224719101,841.7819999999999,616.179056,0.35348232770832805,0.3290664848563105,0.31745118743536144
2025,9,690.1173609550563,654.893,491.36356100000006,0.36432478760874154,0.31334792854124577,0.3223272838500127
2025,10,524.4068511235955,498.14400000000006,373.377678,0.36726325669634713,0.3174682740407423,0.3152684692629106
2025,11,468.61723314606746,460.70550000000003,333.65547000000004,0.385696350190213,0.29597558223757015,0.31832806757221693
2025,12,536.9746516853933,516.2169999999999,382.325952,0.3902883082339123,0.29467895498760177,0.315032736778486
