2024추천,2025추천,고객수,2024추천군내비중
일반 주택용,일반 주택용,131,0.7891566265060241
일반 주택용,제주 TOU(3kW),19,0.1144578313253012
일반 주택용,구독 기본형,16,0.0963855421686747
일반 주택용,구독 프리미엄형,0,0.0
제주 TOU(3kW),일반 주택용,36,0.08933002481389578
제주 TOU(3kW),제주 TOU(3kW),332,0.8238213399503722
제주 TOU(3kW),구독 기본형,35,0.08684863523573201
제주 TOU(3kW),구독 프리미엄형,0,0.0
구독 기본형,일반 주택용,12,0.08391608391608392
구독 기본형,제주 TOU(3kW),45,0.3146853146853147
구독 기본형,구독 기본형,86,0.6013986013986014
구독 기본형,구독 프리미엄형,0,0.0
구독 프리미엄형,일반 주택용,0,0
구독 프리미엄형,제주 TOU(3kW),0,0
구독 프리미엄형,구독 기본형,0,0
구독 프리미엄형,구독 프리미엄형,0,0
